Firstname,Surname,Email,University,Course
Koby,Dare,Astrid@salma.com,"Universidad Panamericana","Law With Criminology"
Kelli,Dicki,Ivory@ashtyn.me,"Wilmington College",Other
Golden,Carter,Ari@flo.tv,"Friedrich Alexander University","Applied Accounting"
Emory,Koch,Gene_Hilpert@laurie.io,"Middlebury College",Engineering
Marjorie,Kilback,Antonia.Hauck@giuseppe.tv,"Nottingham Trent University","German And History"
Ernest,Hoeger,Maritza_Mann@abelardo.tv,"University of Maine",BPTC
Rebecca,Hudson,Reynold_Ferry@bennett.us,"Ecole Nationale Superieure de Techniques Avancees","German And Management"
Josefina,Hirthe,Augustine@cassie.tv,"Friedrich Alexander University","Applied Accounting"
Wanda,Ebert,Amina.Farrell@charlie.net,"RCN Institute","Arts & Humanities"
Burnice,Denesik,Tyrese@don.ca,"Moscow State Technical University","Social. Science"
Harold,Moen,Neil@merlin.name,"Edinburgh, University of","English Law & Hong Kong Law"
Brennon,Spencer,Alexandria@eva.io,"University of the Philippines - Los Banos",Geography
Stanley,Ziemann,Micaela@millie.info,"Sheffield, University of","Industrial Design"
Forest,Rempel,Chyna_Nolan@elody.org,"Aalborg University","IMML German"
Gregory,Zboncak,Annamae_Runte@soledad.us,"Moscow University of People's Friendship",Agriculture
Valentine,Weimann,Jeromy_Blick@katrine.biz,"RCN Institute","Arts & Humanities"
Alexandria,Waelchi,Everette_Torphy@halle.biz,"City of Sunderland College","LLB (European) Law"
Florian,Altenwerth,Adelbert.Ryan@francisca.org,ESB-Reutlingen,"Material And Mineral Engineering"
Faye,Zieme,Joannie.Brown@sigurd.co.uk,"University of Limerick","Financial Management"
Raleigh,Beatty,Alessandra_Hayes@jamal.biz,"Birmingham, University of","(BA) English Literature And American Studies"
Dolly,Kuhic,Sonny@golda.net,"Leuphana University","Politics, Philosophy And Law LLB"
Mikel,Koepp,Rosella@cruz.biz,"Erasmus University Rotterdam",Automotive
May,Pfannerstill,Dave@carlee.me,"Trinity College Carmarthen","Philosophy, Politics And Economics"
Otho,Douglas,Walter@karley.biz,BPP,"LAW AND INTERNATIONAL RELATIONS"
Napoleon,Conroy,Charley.Orn@frances.co.uk,"Dundee College",Environmental
Elza,Doyle,Isobel@simone.biz,"Bradford, University of","Law LLB 2015"
Maci,Schulist,Reginald.Klein@keshawn.name,"Koc University","Law (3yr LLB)"
Kyler,Hansen,Lorine@rebeka.com,"Trinity College Carmarthen","Philosophy, Politics And Economics"
Jean,Conn,Zackary.Dickinson@gonzalo.info,"Chungang University","BA Modern Languages With Business Management"
Reilly,Yost,Herman@avis.me,"Barnet College","BBA Management"
Shad,Quigley,Roy@judah.com,"Humboldt University","Business And Management (Accounting)"
Beatrice,Quitzon,Jana@herta.name,"University of Koln",LL.M
Lonny,Langworth,Sophia.Paucek@jamir.net,"Universidad Panamericana","Law With Criminology"
Rosalinda,Kiehn,Gia@nestor.us,"Wilmington College",Other
Rebekah,Parker,Faustino@shane.us,"Glasgow School of Art","Forensic Science With Crimonology"
Rhoda,Kuhlman,Roel@kianna.net,"University of Nurtingen",English
Judd,Cruickshank,Bell@buddy.co.uk,"Parahyangan University","Open Degree"
Sarah,Yundt,Marcia@noe.org,"University of Newcastle","Modern Languages"
Russ,Pacocha,Shakira_Kessler@moriah.co.uk,ENSAE,"Human Resource Management"
Kali,Purdy,Ignatius@madison.info,"Regensburg University",Advertising
Janick,Block,Lamont@david.info,"Arizona State University","Master Of Law"
Ford,Waelchi,Marta.Grimes@malinda.org,"Universita degli Studi di Firenze","Civil Engineering"
Francesca,Batz,Janie.Klocko@dallin.net,"Liverpool John Moores University",Arts/Entertainment/Media
Lukas,Rogahn,Gage.Willms@ruben.me,"SKEMA Business School","LLM Laws"
Wilhelmine,Funk,Daphne@darryl.biz,"Universita degli Studi di Padova","Chemical Engineering"
Jude,Nader,Payton@rupert.org,"Ealing & West London College",Art
Frankie,Stroman,Saul@gia.name,"Cooper Union",Linguistics
Mina,Jaskolski,Amos_Effertz@jennie.info,"Koc University","Law (3yr LLB)"
Mack,Zieme,Martin@isabelle.com,"Miriam College","Business And HR Management"
Celestine,Tromp,Loy@evalyn.us,"RCN Institute","Arts & Humanities"
Zella,Nitzsche,Bridgette@gordon.us,"Leuphana University","Politics, Philosophy And Law LLB"
Ila,Kuphal,Terrance.Rowe@mario.co.uk,"Polytechnic di Torino","BA Management And Leadership With European Study"
Eda,Cruickshank,Abelardo@elza.ca,"Jonkoping University College","European Law"
Jaylen,Koepp,Norbert@kristian.io,"European Business School (Oestrich-Winkel)","Public Sector/Governmental"
Kristina,Kohler,Aidan@nona.name,"Dublin City University","Criminology And Social Policy"
Sean,Ondricka,Kristin.Rolfson@madelyn.tv,"University of Bonn",BA
Estelle,Leuschke,Chauncey.Hoeger@jeramie.tv,"Xi'an Jiaotong university","European Studies (Politics, History, French, Italian)"
Roselyn,Funk,Korbin@hallie.io,"Koc University","Law (3yr LLB)"
Kariane,Romaguera,Jocelyn_Fadel@lauryn.com,"UHI Millennium Institute","Health And Social Care"
Adrian,Nitzsche,Markus.Gulgowski@nicolas.tv,"Turku University","History And Politics"
Maggie,Windler,Shayna.Lesch@donny.io,"Hofstra University","Law (M100)"
Ken,Blanda,Modesta_Aufderhar@belle.co.uk,,
Antone,Reilly,Ford@garfield.name,"Flinders University","History (BA Hons)"
Yadira,Cassin,Anastacio@murray.net,"UAM University","LLM Tax Law"
Marge,Macejkovic,Retha@griffin.me,"UHI Millennium Institute","Health And Social Care"
Rogers,Feest,Keshawn_Kuvalis@orlando.name,"University of Washington","Information Technology"
Candelario,Fadel,Kailee_Casper@reina.me,"Warburg Institute",E-Business
Eldridge,Shields,Rachel_Block@olin.info,"University of Pennsylvania","Accountancy Banking & Finance"
Lavina,Romaguera,Cathrine@virgie.us,"Nottingham Trent University","German And History"
Matt,Hessel,Skyla@gonzalo.net,"Universita degli Studi di Roma/La Sapienza",Chemistry
Barrett,Donnelly,Sheila.Abshire@david.io,"Universita Cattolica del Sacro Cuore","Economics And Politics"
Betty,Hagenes,Linda@monte.me,"Lodz University","Environment, Society And Development"
Alphonso,Schmeler,Raphael_Senger@vernon.biz,"XLRI, Jamshedpur","MSc Social Cognition"
Selmer,Shields,Michelle.Rice@pat.me,"University of the Philippines - Los Banos",Geography
Earl,Kemmer,Terry.Rau@brennan.com,"University of Michigan",Psychology
Sharon,Kunde,Julius@isabell.io,"University of Nurtingen",English
Jeffry,Jacobs,Juliana.Stanton@magnolia.ca,"Blackburn College","Business & Law"
Eliane,Ritchie,Kaleigh.Durgan@verner.us,"Management Development Institute",LLB
Howard,Erdman,Arthur_Stroman@quinn.com,"UHI Millennium Institute",Biology
Lance,Schimmel,Dovie.Williamson@alycia.org,"Elmhurst College","Social Care"
Elliott,Tillman,Bethel@jess.com,"University of Nairobi","Computer Science"
Emanuel,Boyle,Claude@brent.us,"Scuola Superiore S.Anna (Pisa)","Business Analysis And Consulting"
Norma,Feest,Abdullah.Terry@leonardo.net,"Newcastle University","International Politics"
Jenifer,O'Conner,Virgie@robert.name,"Graduate University of Chinese Academy of Sciences","French And History"
Lilliana,Towne,Henri@breana.org,"SKEMA Business School","LLM Laws"
Verner,Padberg,Florencio@barney.com,"University of South Australia",Accountancy
Adelia,Stiedemann,Jessika.Nader@glennie.name,"East China Normal University","Business & Management"
Tristin,Turcotte,Joyce_Jaskolski@emmalee.name,"Friedrich Alexander University","Applied Accounting"
Cooper,Pouros,Chase_Kub@emely.us,"Shanghai Maritime University","Historical Archaeology"
Judy,Romaguera,Charlotte@earl.info,"Imperial College London","Product Design"
Maxie,Tremblay,Annamae.Upton@roma.biz,"Southampton, University of","Business Management"
Akeem,Barrows,Wellington@mara.ca,"Indian Institute of Management, Indore",Physics
Florencio,Funk,Kenna@vicky.us,"University of Maine",BPTC
Margarita,Welch,Wellington_Cormier@novella.tv,"University of the Philippines - Los Banos",Geography
Helmer,Legros,Ubaldo@bessie.us,"Warburg Institute",E-Business
Carole,Labadie,Josh@kelvin.io,"Ghent University",LLM
Desiree,Klein,Isidro_Homenick@jerald.biz,"Ghent University",LLM
Eloy,Kuvalis,Annabelle_Okuneva@christelle.com,"Glasgow School of Art","Forensic Science With Crimonology"
Lucinda,Macejkovic,Ada_Wuckert@kirk.us,"Royal Veterinary College",Science/Research
Emilia,Bosco,Yasmin@darwin.us,"Imperial College London","Product Design"
